"word","freq"
"Fab ricius Conorhinus nigrovarius Blanchard","Fab ricius Conorhinus nigrovarius Blanchard","  1"
"Fabricius","Fabricius","  3"
"Fabricius ","Fabricius ","  1"
"Fabricius  p","Fabricius  p","  1"
"Fabricius  p ","Fabricius  p ","  1"
"Fabricius  p  Wolff","Fabricius  p  Wolff","  1"
"Fabricius Conorhinus","Fabricius Conorhinus","  1"
"Fabricius Conorhinus porrigens","Fabricius Conorhinus porrigens","  1"
"Fabricius Conorhinus porrigens Walker","Fabricius Conorhinus porrigens Walker","  1"
"Fabricius Conorhinus porrigens Walker b","Fabricius Conorhinus porrigens Walker b","  1"
"Fabricius Female","Fabricius Female","  1"
"Fabricius Female holotype","Fabricius Female holotype","  1"
"Fabricius Female holotype Length","Fabricius Female holotype Length","  1"
"Fabricius Female holotype Length ","Fabricius Female holotype Length ","  1"
"Fairchild","Fairchild","  1"
"Fairchild ","Fairchild ","  1"
"Fairchild  p","Fairchild  p","  1"
"Fairchild  p ","Fairchild  p ","  1"
"Fairchild  p  Vargas","Fairchild  p  Vargas","  1"
"Farr","Farr","  3"
"Farr ","Farr ","  2"
"Farr  p","Farr  p","  2"
"Farr  p ","Farr  p ","  2"
"Farr  p  figs","Farr  p  figs","  2"
"Farr new","Farr new","  1"
"Farr new combination","Farr new combination","  1"
"Farr new combination Figures","Farr new combination Figures","  1"
"Farr new combination Figures ","Farr new combination Figures ","  1"
"Female","Female"," 12"
"Female genital","Female genital","  1"
"Female genital region","Female genital region","  1"
"Female genital region strongly","Female genital region strongly","  1"
"Female genital region strongly projecting","Female genital region strongly projecting","  1"
"Female genitalia","Female genitalia","  2"
"Female genitalia elongate","Female genitalia elongate","  1"
"Female genitalia elongate pointed","Female genitalia elongate pointed","  1"
"Female genitalia elongate pointed Male","Female genitalia elongate pointed Male","  1"
"Female genitalia strongly","Female genitalia strongly","  1"
"Female genitalia strongly projecting","Female genitalia strongly projecting","  1"
"Female genitalia strongly projecting back","Female genitalia strongly projecting back","  1"
"Female holotype","Female holotype","  1"
"Female holotype Length","Female holotype Length","  1"
"Female holotype Length ","Female holotype Length ","  1"
"Female holotype Length  ","Female holotype Length  ","  1"
"Female Length","Female Length","  2"
"Female Length ","Female Length ","  2"
"Female Length  ","Female Length  ","  2"
"Female Length   ","Female Length   ","  2"
"Female male","Female male","  3"
"Female male not","Female male not","  2"
"Female male not examined","Female male not examined","  1"
"Female male not examined Overall","Female male not examined Overall","  1"
"Female male not known","Female male not known","  1"
"Female male not known Length","Female male not known Length","  1"
"Female male unknown","Female male unknown","  1"
"Female male unknown Length","Female male unknown Length","  1"
"Female male unknown Length ","Female male unknown Length ","  1"
"Female Not","Female Not","  1"
"Female Not seen","Female Not seen","  1"
"Female Not seen data","Female Not seen data","  1"
"Female Not seen data taken","Female Not seen data taken","  1"
"Female only","Female only","  2"
"Female only sex","Female only sex","  1"
"Female only sex known","Female only sex known","  1"
"Female only sex known Length","Female only sex known Length","  1"
"Female only specimen","Female only specimen","  1"
"Female only specimen known","Female only specimen known","  1"
"Female only specimen known Length","Female only specimen known Length","  1"
"Females","Females","  2"
"Females with","Females with","  2"
"Females with spongy","Females with spongy","  2"
"Females with spongy fossula","Females with spongy fossula","  1"
"Females with spongy fossula on","Females with spongy fossula on","  1"
"Females with spongy fossulae","Females with spongy fossulae","  1"
"Females with spongy fossulae on","Females with spongy fossulae on","  1"
"Femora","Femora"," 34"
"Femora and","Femora and","  3"
"Femora and especially","Femora and especially","  1"
"Femora and especially tibiae","Femora and especially tibiae","  1"
"Femora and especially tibiae and","Femora and especially tibiae and","  1"
"Femora and tibia","Femora and tibia","  1"
"Femora and tibia laterally","Femora and tibia laterally","  1"
"Femora and tibia laterally compressed","Femora and tibia laterally compressed","  1"
"Femora and tibiae","Femora and tibiae","  1"
"Femora and tibiae dark","Femora and tibiae dark","  1"
"Femora and tibiae dark brown","Femora and tibiae dark brown","  1"
"Femora apically","Femora apically","  1"
"Femora apically with","Femora apically with","  1"
"Femora apically with ","Femora apically with ","  1"
"Femora apically with  minute","Femora apically with  minute","  1"
"Femora armed","Femora armed","  1"
"Femora armed with","Femora armed with","  1"
"Femora armed with series","Femora armed with series","  1"
"Femora armed with series of","Femora armed with series of","  1"
"Femora each","Femora each","  1"
"Femora each with","Femora each with","  1"
"Femora each with one","Femora each with one","  1"
"Femora each with one pair","Femora each with one pair","  1"
"Femora either","Femora either","  1"
"Femora either only","Femora either only","  1"
"Femora either only slightly","Femora either only slightly","  1"
"Femora either only slightly salient","Femora either only slightly salient","  1"
"Femora faintly","Femora faintly","  1"
"Femora faintly granulose","Femora faintly granulose","  1"
"Femora faintly granulose as","Femora faintly granulose as","  1"
"Femora faintly granulose as sides","Femora faintly granulose as sides","  1"
"Femora from","Femora from","  1"
"Femora from parallelsided","Femora from parallelsided","  1"
"Femora from parallelsided to","Femora from parallelsided to","  1"
"Femora from parallelsided to fusiform","Femora from parallelsided to fusiform","  1"
"Femora grooved","Femora grooved","  1"
"Femora grooved longitudinally","Femora grooved longitudinally","  1"
"Femora grooved longitudinally for","Femora grooved longitudinally for","  1"
"Femora grooved longitudinally for reception","Femora grooved longitudinally for reception","  1"
"Femora inermous","Femora inermous","  3"
"Femora inermous Fore","Femora inermous Fore","  2"
"Femora inermous Fore and","Femora inermous Fore and","  2"
"Femora inermous Fore and mid","Femora inermous Fore and mid","  2"
"Femora inermous with","Femora inermous with","  1"
"Femora inermous with short","Femora inermous with short","  1"
"Femora inermous with short adpressed","Femora inermous with short adpressed","  1"
"Femora nodulose","Femora nodulose","  1"
"Femora nodulose nodules","Femora nodulose nodules","  1"
"Femora nodulose nodules light","Femora nodulose nodules light","  1"
"Femora nodulose nodules light red","Femora nodulose nodules light red","  1"
"Femora of","Femora of","  7"
"Femora of all","Femora of all","  1"
"Femora of all pairs","Femora of all pairs","  1"
"Femora of all pairs of","Femora of all pairs of","  1"
"Femora of first","Femora of first","  4"
"Femora of first and","Femora of first and","  4"
"Femora of first and second","Femora of first and second","  4"
"Femora of fore","Femora of fore","  2"
"Femora of fore and","Femora of fore and","  1"
"Femora of fore and mid","Femora of fore and mid","  1"
"Femora of fore legs","Femora of fore legs","  1"
"Femora of fore legs and","Femora of fore legs and","  1"
"Femora short","Femora short","  1"
"Femora short thickened","Femora short thickened","  1"
"Femora short thickened Corium","Femora short thickened Corium","  1"
"Femora short thickened Corium with","Femora short thickened Corium with","  1"
"Femora stout","Femora stout","  1"
"Femora stout with","Femora stout with","  1"
"Femora stout with l","Femora stout with l","  1"
"Femora stout with l ","Femora stout with l ","  1"
"Femora with","Femora with","  7"
"Femora with a","Femora with a","  1"
"Femora with a slight","Femora with a slight","  1"
"Femora with a slight protuberance","Femora with a slight protuberance","  1"
"Femora with four","Femora with four","  1"
"Femora with four or","Femora with four or","  1"
"Femora with four or five","Femora with four or five","  1"
"Femora with one","Femora with one","  2"
"Femora with one large","Femora with one large","  1"
"Femora with one large and","Femora with one large and","  1"
"Femora with one or","Femora with one or","  1"
"Femora with one or two","Femora with one or two","  1"
"Femora with slight","Femora with slight","  1"
"Femora with slight subapical","Femora with slight subapical","  1"
"Femora with slight subapical protuberance","Femora with slight subapical protuberance","  1"
"Femora with subapical","Femora with subapical","  1"
"Femora with subapical annulus","Femora with subapical annulus","  1"
"Femora with subapical annulus black","Femora with subapical annulus black","  1"
"Femora with two","Femora with two","  1"
"Femora with two or","Femora with two or","  1"
"Femora with two or three","Femora with two or three","  1"
"Femora without","Femora without","  3"
"Femora without denticles","Femora without denticles","  2"
"Femora without denticles only","Femora without denticles only","  1"
"Femora without denticles only somewhat","Femora without denticles only somewhat","  1"
"Femora without denticles spongy","Femora without denticles spongy","  1"
"Femora without denticles spongy fossulae","Femora without denticles spongy fossulae","  1"
"Femora without subapical","Femora without subapical","  1"
"Femora without subapical denticles","Femora without subapical denticles","  1"
"Femora without subapical denticles Spongy","Femora without subapical denticles Spongy","  1"
"Femora yellow","Femora yellow","  1"
"Femora yellow with","Femora yellow with","  1"
"Femora yellow with subapical","Femora yellow with subapical","  1"
"Femora yellow with subapical annulus","Femora yellow with subapical annulus","  1"
"Ferreira","Ferreira","  1"
"Ferreira and","Ferreira and","  1"
"Ferreira and Leal","Ferreira and Leal","  1"
"Ferreira and Leal ","Ferreira and Leal ","  1"
"Ferreira and Leal  p","Ferreira and Leal  p","  1"
"Fift","Fift","  1"
"Fift instar","Fift instar","  1"
"Fift instar nymph","Fift instar nymph","  1"
"Fift instar nymph Body","Fift instar nymph Body","  1"
"Fift instar nymph Body surface","Fift instar nymph Body surface","  1"
"Fifth","Fifth"," 18"
"Fifth instar","Fifth instar"," 18"
"Fifth instar nymph","Fifth instar nymph"," 18"
"Fifth instar nymph As","Fifth instar nymph As","  3"
"Fifth instar nymph As described","Fifth instar nymph As described","  3"
"Fifth instar nymph Body","Fifth instar nymph Body","  5"
"Fifth instar nymph Body surface","Fifth instar nymph Body surface","  5"
"Fifth instar nymph not","Fifth instar nymph not","  2"
"Fifth instar nymph not seen","Fifth instar nymph not seen","  2"
"Fifth instar nymph With","Fifth instar nymph With","  8"
"Fifth instar nymph With the","Fifth instar nymph With the","  8"
"FIG","FIG","  1"
"FIG ","FIG ","  1"
"FIG  Panstrongylus","FIG  Panstrongylus","  1"
"FIG  Panstrongylus herreri","FIG  Panstrongylus herreri","  1"
"FIG  Panstrongylus herreri A","FIG  Panstrongylus herreri A","  1"
"Figueiredo","Figueiredo","  1"
"Figueiredo ","Figueiredo ","  1"
"Figueiredo  p","Figueiredo  p","  1"
"Figueiredo  p ","Figueiredo  p ","  1"
"Figueiredo  p  Length","Figueiredo  p  Length","  1"
"Figures","Figures","110"
"Figures ","Figures "," 80"
"Figures  ","Figures  "," 39"
"Figures   ","Figures   ","  3"
"Figures    Bolbodera","Figures    Bolbodera","  1"
"Figures    Meccus","Figures    Meccus","  1"
"Figures    Triatoma","Figures    Triatoma","  1"
"Figures   Conorhinus","Figures   Conorhinus","  5"
"Figures   Conorhinus gerstaeckeri","Figures   Conorhinus gerstaeckeri","  1"
"Figures   Conorhinus leopoldi","Figures   Conorhinus leopoldi","  1"
"Figures   Conorhinus recurvus","Figures   Conorhinus recurvus","  1"
"Figures   Conorhinus venosus","Figures   Conorhinus venosus","  1"
"Figures   Conorhinus vitticeps","Figures   Conorhinus vitticeps","  1"
"Figures   Conorrhinus","Figures   Conorrhinus","  1"
"Figures   Conorrhinus venosus","Figures   Conorrhinus venosus","  1"
"Figures   DIAGNOSIS","Figures   DIAGNOSIS","  2"
"Figures   DIAGNOSIS A","Figures   DIAGNOSIS A","  1"
"Figures   DIAGNOSIS Belminus","Figures   DIAGNOSIS Belminus","  1"
"Figures   linshcosteus","Figures   linshcosteus","  1"
"Figures   Linshcosteus","Figures   Linshcosteus","  1"
"Figures   linshcosteus confumus","Figures   linshcosteus confumus","  1"
"Figures   Linshcosteus costalis","Figures   Linshcosteus costalis","  1"
"Figures   Meccus","Figures   Meccus","  1"
"Figures   Meccus pallidipennis","Figures   Meccus pallidipennis","  1"
"Figures   Mestor","Figures   Mestor","  1"
"Figures   Mestor humeralis","Figures   Mestor humeralis","  1"
"Figures   Nesotriatoma","Figures   Nesotriatoma","  1"
"Figures   Nesotriatoma obscura","Figures   Nesotriatoma obscura","  1"
"Figures   Panstrongylus","Figures   Panstrongylus","  2"
"Figures   Panstrongylus herreri","Figures   Panstrongylus herreri","  1"
"Figures   Panstrongylus lenti","Figures   Panstrongylus lenti","  1"
"Figures   Rhodnius","Figures   Rhodnius","  3"
"Figures   Rhodnius brethesi","Figures   Rhodnius brethesi","  1"
"Figures   Rhodnius ecuadoriensis","Figures   Rhodnius ecuadoriensis","  1"
"Figures   Rhodnius paraensis","Figures   Rhodnius paraensis","  1"
"Figures   Rhodosisu","Figures   Rhodosisu","  1"
"Figures   Rhodosisu probixus","Figures   Rhodosisu probixus","  1"
"Figures   Triatoma","Figures   Triatoma"," 17"
"Figures   Triatoma arthurneivai","Figures   Triatoma arthurneivai","  1"
"Figures   Triatoma bouvieri","Figures   Triatoma bouvieri","  1"
"Figures   Triatoma carrioni","Figures   Triatoma carrioni","  1"
"Figures   Triatoma cavernicola","Figures   Triatoma cavernicola","  1"
"Figures   Triatoma delpontei","Figures   Triatoma delpontei","  1"
"Figures   Triatoma hegneri","Figures   Triatoma hegneri","  1"
"Figures   Triatoma incrassata","Figures   Triatoma incrassata","  1"
"Figures   Triatoma indictiva","Figures   Triatoma indictiva","  1"
"Figures   Triatoma Lutzi","Figures   Triatoma Lutzi","  1"
"Figures   Triatoma patagonica","Figures   Triatoma patagonica","  1"
"Figures   Triatoma peninsularis","Figures   Triatoma peninsularis","  1"
"Figures   Triatoma platensis","Figures   Triatoma platensis","  1"
"Figures   Triatoma pseudomaculata","Figures   Triatoma pseudomaculata","  1"
"Figures   Triatoma sinaloensis","Figures   Triatoma sinaloensis","  1"
"Figures   Triatoma sinica","Figures   Triatoma sinica","  1"
"Figures   Triatoma sp","Figures   Triatoma sp","  1"
"Figures   Triatoma williami","Figures   Triatoma williami","  1"
"Figures  A","Figures  A","  2"
"Figures  A ","Figures  A ","  1"
"Figures  A  Reduvius","Figures  A  Reduvius","  1"
"Figures  A lOF","Figures  A lOF","  1"
"Figures  A lOF F","Figures  A lOF F","  1"
"Figures  AC","Figures  AC","  1"
"Figures  AC E","Figures  AC E","  1"
"Figures  AC E ","Figures  AC E ","  1"
"Figures  Belminus","Figures  Belminus","  1"
"Figures  Belminus rugulosus","Figures  Belminus rugulosus","  1"
"Figures  Belminus rugulosus Stal","Figures  Belminus rugulosus Stal","  1"
"Figures  Conorhinus","Figures  Conorhinus","  6"
"Figures  Conorhinus circummaculatus","Figures  Conorhinus circummaculatus","  1"
"Figures  Conorhinus circummaculatus Stal","Figures  Conorhinus circummaculatus Stal","  1"
"Figures  Conorhinus phyllosoma","Figures  Conorhinus phyllosoma","  1"
"Figures  Conorhinus phyllosoma Burmeister","Figures  Conorhinus phyllosoma Burmeister","  1"
"Figures  Conorhinus rubidus","Figures  Conorhinus rubidus","  1"
"Figures  Conorhinus rubidus Uhler","Figures  Conorhinus rubidus Uhler","  1"
"Figures  Conorhinus rubrovarius","Figures  Conorhinus rubrovarius","  1"
"Figures  Conorhinus rubrovarius Blanchard","Figures  Conorhinus rubrovarius Blanchard","  1"
"Figures  Conorhinus sordidus","Figures  Conorhinus sordidus","  1"
"Figures  Conorhinus sordidus StAI","Figures  Conorhinus sordidus StAI","  1"
"Figures  Conorhinus variegatus","Figures  Conorhinus variegatus","  1"
"Figures  Conorhinus variegatus Still","Figures  Conorhinus variegatus Still","  1"
"Figures  DIAGNOSIS","Figures  DIAGNOSIS","  1"
"Figures  DIAGNOSIS This","Figures  DIAGNOSIS This","  1"
"Figures  DIAGNOSIS This species","Figures  DIAGNOSIS This species","  1"
"Figures  E","Figures  E","  2"
"Figures  E ","Figures  E ","  1"
"Figures  E  Parabelminus","Figures  E  Parabelminus","  1"
"Figures  E A","Figures  E A","  1"
"Figures  E A ","Figures  E A ","  1"
"Figures  Eutriatoma","Figures  Eutriatoma","  2"
"Figures  Eutriatoma oliveirai","Figures  Eutriatoma oliveirai","  1"
"Figures  Eutriatoma oliveirai Neiva","Figures  Eutriatoma oliveirai Neiva","  1"
"Figures  Eutriatoma tibiamaculata","Figures  Eutriatoma tibiamaculata","  1"
"Figures  Eutriatoma tibiamaculata Pinto","Figures  Eutriatoma tibiamaculata Pinto","  1"
"Figures  H","Figures  H","  1"
"Figures  H IOG","Figures  H IOG","  1"
"Figures  H IOG ","Figures  H IOG ","  1"
"Figures  J","Figures  J","  1"
"Figures  J lOA","Figures  J lOA","  1"
"Figures  J lOA B","Figures  J lOA B","  1"
"Figures  Panstrongylus","Figures  Panstrongylus","  2"
"Figures  Panstrongylus diasi","Figures  Panstrongylus diasi","  1"
"Figures  Panstrongylus diasi Pinto","Figures  Panstrongylus diasi Pinto","  1"
"Figures  Panstrongylus tupynambai","Figures  Panstrongylus tupynambai","  1"
"Figures  Panstrongylus tupynambai Lent","Figures  Panstrongylus tupynambai Lent","  1"
"Figures  Psammolestes","Figures  Psammolestes","  1"
"Figures  Psammolestes tertius","Figures  Psammolestes tertius","  1"
"Figures  Psammolestes tertius Lent","Figures  Psammolestes tertius Lent","  1"
"Figures  Rhodnius","Figures  Rhodnius","  5"
"Figures  Rhodnius domesticus","Figures  Rhodnius domesticus","  1"
"Figures  Rhodnius domesticus Neiva","Figures  Rhodnius domesticus Neiva","  1"
"Figures  Rhodnius nasutus","Figures  Rhodnius nasutus","  1"
"Figures  Rhodnius nasutus StAI","Figures  Rhodnius nasutus StAI","  1"
"Figures  Rhodnius pallescens","Figures  Rhodnius pallescens","  1"
"Figures  Rhodnius pallescens Barber","Figures  Rhodnius pallescens Barber","  1"
"Figures  Rhodnius robustus","Figures  Rhodnius robustus","  1"
"Figures  Rhodnius robustus Larrousse","Figures  Rhodnius robustus Larrousse","  1"
"Figures  Rhodnius sp","Figures  Rhodnius sp","  1"
"Figures  Rhodnius sp Correa","Figures  Rhodnius sp Correa","  1"
"Figures  Triatoma","Figures  Triatoma"," 16"
"Figures  Triatoma amicitiae","Figures  Triatoma amicitiae","  1"
"Figures  Triatoma amicitiae Lent","Figures  Triatoma amicitiae Lent","  1"
"Figures  Triatoma brasiliensis","Figures  Triatoma brasiliensis","  1"
"Figures  Triatoma brasiliensis Neiva","Figures  Triatoma brasiliensis Neiva","  1"
"Figures  Triatoma breyeri","Figures  Triatoma breyeri","  1"
"Figures  Triatoma breyeri Del","Figures  Triatoma breyeri Del","  1"
"Figures  Triatoma costalimai","Figures  Triatoma costalimai","  1"
"Figures  Triatoma costalimai Verano","Figures  Triatoma costalimai Verano","  1"
"Figures  Triatoma deanei","Figures  Triatoma deanei","  1"
"Figures  Triatoma deanei Galviio","Figures  Triatoma deanei Galviio","  1"
"Figures  Triatoma eratyrusiforme","Figures  Triatoma eratyrusiforme","  1"
"Figures  Triatoma eratyrusiforme Del","Figures  Triatoma eratyrusiforme Del","  1"
"Figures  Triatoma guasayana","Figures  Triatoma guasayana","  1"
"Figures  Triatoma guasayana Wygodzinsky","Figures  Triatoma guasayana Wygodzinsky","  1"
"Figures  Triatoma howardi","Figures  Triatoma howardi","  1"
"Figures  Triatoma howardi Neiva","Figures  Triatoma howardi Neiva","  1"
"Figures  Triatoma limai","Figures  Triatoma limai","  1"
"Figures  Triatoma limai Del","Figures  Triatoma limai Del","  1"
"Figures  Triatoma melanocephala","Figures  Triatoma melanocephala","  1"
"Figures  Triatoma melanocephala Neiva","Figures  Triatoma melanocephala Neiva","  1"
"Figures  Triatoma nitida","Figures  Triatoma nitida","  1"
"Figures  Triatoma nitida Usinger","Figures  Triatoma nitida Usinger","  1"
"Figures  Triatoma petrochii","Figures  Triatoma petrochii","  1"
"Figures  Triatoma petrochii Pinto","Figures  Triatoma petrochii Pinto","  1"
"Figures  Triatoma pugasi","Figures  Triatoma pugasi","  1"
"Figures  Triatoma pugasi Lent","Figures  Triatoma pugasi Lent","  1"
"Figures  Triatoma rugulosa","Figures  Triatoma rugulosa","  1"
"Figures  Triatoma rugulosa Neiva","Figures  Triatoma rugulosa Neiva","  1"
"Figures  Triatoma ryckmani","Figures  Triatoma ryckmani","  1"
"Figures  Triatoma ryckmani Zeledn","Figures  Triatoma ryckmani Zeledn","  1"
"Figures  Triatoma wygodzinskyi","Figures  Triatoma wygodzinskyi","  1"
"Figures  Triatoma wygodzinskyi Lent","Figures  Triatoma wygodzinskyi Lent","  1"
"Figures A","Figures A","  7"
"Figures A ","Figures A ","  4"
"Figures A  ","Figures A  ","  4"
"Figures A   ","Figures A   ","  2"
"Figures A   Conorhinus","Figures A   Conorhinus","  1"
"Figures A   Triatoma","Figures A   Triatoma","  1"
"Figures A C","Figures A C","  1"
"Figures A C K","Figures A C K","  1"
"Figures A C K ","Figures A C K ","  1"
"Figures A D","Figures A D","  1"
"Figures A D IOCE","Figures A D IOCE","  1"
"Figures A D IOCE C","Figures A D IOCE C","  1"
"Figures A F","Figures A F","  1"
"Figures A F L","Figures A F L","  1"
"Figures A F L F","Figures A F L F","  1"
"Figures AD","Figures AD","  2"
"Figures AD ","Figures AD ","  1"
"Figures AD  A","Figures AD  A","  1"
"Figures AD  A ","Figures AD  A ","  1"
"Figures AD B","Figures AD B","  1"
"Figures AD B lOB","Figures AD B lOB","  1"
"Figures AD B lOB ","Figures AD B lOB ","  1"
"Figures B","Figures B","  1"
"Figures B ","Figures B ","  1"
"Figures B  E","Figures B  E","  1"
"Figures B  E M","Figures B  E M","  1"
"Figures C","Figures C","  5"
"Figures C ","Figures C ","  3"
"Figures C  ","Figures C  ","  2"
"Figures C   Conorhinus","Figures C   Conorhinus","  1"
"Figures C   Triatoma","Figures C   Triatoma","  1"
"Figures C  Linshcosteus","Figures C  Linshcosteus","  1"
"Figures C  Linshcosteus carnifex","Figures C  Linshcosteus carnifex","  1"
"Figures C D","Figures C D","  1"
"Figures C D ","Figures C D ","  1"
"Figures C D  ","Figures C D  ","  1"
"Figures C Q","Figures C Q","  1"
"Figures C Q ","Figures C Q ","  1"
"Figures C Q  Rhodnius","Figures C Q  Rhodnius","  1"
"Figures D","Figures D","  1"
"Figures D D","Figures D D","  1"
"Figures D D E","Figures D D E","  1"
"Figures D D E A","Figures D D E A","  1"
"Figures E","Figures E","  2"
"Figures E ","Figures E ","  1"
"Figures E  ","Figures E  ","  1"
"Figures E   Triatoma","Figures E   Triatoma","  1"
"Figures E G","Figures E G","  1"
"Figures E G SC","Figures E G SC","  1"
"Figures E G SC ","Figures E G SC ","  1"
"Figures F","Figures F","  1"
"Figures F SF","Figures F SF","  1"
"Figures F SF G","Figures F SF G","  1"
"Figures F SF G B","Figures F SF G B","  1"
"Figures H","Figures H","  2"
"Figures H E","Figures H E","  2"
"Figures H E ","Figures H E ","  1"
"Figures H E  ","Figures H E  ","  1"
"Figures H E F","Figures H E F","  1"
"Figures H E F F","Figures H E F F","  1"
"Figures J","Figures J","  1"
"Figures J ","Figures J ","  1"
"Figures J  ","Figures J  ","  1"
"Figures J   Triatoma","Figures J   Triatoma","  1"
"Figures K","Figures K","  2"
"Figures K ","Figures K ","  1"
"Figures K  Conorhinus","Figures K  Conorhinus","  1"
"Figures K  Conorhinus lecticularius","Figures K  Conorhinus lecticularius","  1"
"Figures K E","Figures K E","  1"
"Figures K E F","Figures K E F","  1"
"Figures K E F ","Figures K E F ","  1"
"Figures L","Figures L","  1"
"Figures L F","Figures L F","  1"
"Figures L F ","Figures L F ","  1"
"Figures L F  Panstrongylus","Figures L F  Panstrongylus","  1"
"Figures M","Figures M","  1"
"Figures M A","Figures M A","  1"
"Figures M A ","Figures M A ","  1"
"Figures M A  Conorhinus","Figures M A  Conorhinus","  1"
"Figures N","Figures N","  1"
"Figures N ","Figures N ","  1"
"Figures N  ","Figures N  ","  1"
"Figures N   Triatoma","Figures N   Triatoma","  1"
"Figures P","Figures P","  1"
"Figures P ","Figures P ","  1"
"Figures P  ","Figures P  ","  1"
"Figures P   p","Figures P   p","  1"
"Figures SH","Figures SH","  1"
"Figures SH ","Figures SH ","  1"
"Figures SH  AG","Figures SH  AG","  1"
"Figures SH  AG I","Figures SH  AG I","  1"
"Figures SK","Figures SK","  1"
"Figures SK L","Figures SK L","  1"
"Figures SK L A","Figures SK L A","  1"
"Figures SK L A ","Figures SK L A ","  1"
"Filho","Filho","  1"
"Filho ","Filho ","  1"
"Filho  p","Filho  p","  1"
"Filho  p ","Filho  p ","  1"
"Filho  p  fig","Filho  p  fig","  1"
"First","First","196"
"First and","First and"," 28"
"First and fifth","First and fifth","  1"
"First and fifth nymphal","First and fifth nymphal","  1"
"First and fifth nymphal instars","First and fifth nymphal instars","  1"
"First and most","First and most","  5"
"First and most of","First and most of","  5"
"First and most of second","First and most of second","  5"
"First and second","First and second"," 15"
"First and second antennal","First and second antennal"," 10"
"First and second antennal segments","First and second antennal segments"," 10"
"First and second articles","First and second articles","  1"
"First and second articles of","First and second articles of","  1"
"First and second rostral","First and second rostral","  3"
"First and second rostral segments","First and second rostral segments","  3"
"First and second segments","First and second segments","  1"
"First and second segments with","First and second segments with","  1"
"First and third","First and third","  4"
"First and third rostral","First and third rostral","  4"
"First and third rostral segments","First and third rostral segments","  4"
"First and under","First and under","  3"
"First and under surface","First and under surface","  3"
"First and under surface of","First and under surface of","  3"
"First antenna","First antenna","  2"
"First antenna segment","First antenna segment","  2"
"First antenna segment attaining","First antenna segment attaining","  1"
"First antenna segment attaining or","First antenna segment attaining or","  1"
"First antenna segment extremely","First antenna segment extremely","  1"
"First antenna segment extremely short","First antenna segment extremely short","  1"
"First antennal","First antennal"," 75"
"First antennal article","First antennal article","  1"
"First antennal article slightly","First antennal article slightly","  1"
"First antennal article slightly surpassing","First antennal article slightly surpassing","  1"
"First antennal segment","First antennal segment"," 74"
"First antennal segment almost","First antennal segment almost","  1"
"First antennal segment almost attaining","First antennal segment almost attaining","  1"
"First antennal segment appearing","First antennal segment appearing","  1"
"First antennal segment appearing unusually","First antennal segment appearing unusually","  1"
"First antennal segment approaching","First antennal segment approaching","  5"
"First antennal segment approaching but","First antennal segment approaching but","  3"
"First antennal segment approaching level","First antennal segment approaching level","  2"
"First antennal segment attaining","First antennal segment attaining","  9"
"First antennal segment attaining but","First antennal segment attaining but","  1"
"First antennal segment attaining level","First antennal segment attaining level","  3"
"First antennal segment attaining or","First antennal segment attaining or","  5"
"First antennal segment blackish","First antennal segment blackish","  1"
"First antennal segment blackish second","First antennal segment blackish second","  1"
"First antennal segment distinctly","First antennal segment distinctly","  2"
"First antennal segment distinctly projecting","First antennal segment distinctly projecting","  1"
"First antennal segment distinctly surpassing","First antennal segment distinctly surpassing","  1"
"First antennal segment extending","First antennal segment extending"," 10"
"First antennal segment extending beyond","First antennal segment extending beyond","  3"
"First antennal segment extending close","First antennal segment extending close","  1"
"First antennal segment extending distinctly","First antennal segment extending distinctly","  3"
"First antennal segment extending slightly","First antennal segment extending slightly","  3"
"First antennal segment falling","First antennal segment falling"," 29"
"First antennal segment falling considerably","First antennal segment falling considerably","  5"
"First antennal segment falling distinctly","First antennal segment falling distinctly","  8"
"First antennal segment falling short","First antennal segment falling short"," 14"
"First antennal segment falling slightly","First antennal segment falling slightly","  2"
"First antennal segment from","First antennal segment from","  2"
"First antennal segment from almost","First antennal segment from almost","  1"
"First antennal segment from attaining","First antennal segment from attaining","  1"
"First antennal segment light","First antennal segment light","  1"
"First antennal segment light colored","First antennal segment light colored","  1"
"First antennal segment reddish","First antennal segment reddish","  1"
"First antennal segment reddish brown","First antennal segment reddish brown","  1"
"First antennal segment short","First antennal segment short","  2"
"First antennal segment short not","First antennal segment short not","  1"
"First antennal segment short the","First antennal segment short the","  1"
"First antennal segment slender","First antennal segment slender","  1"
"First antennal segment slender almost","First antennal segment slender almost","  1"
"First antennal segment slightly","First antennal segment slightly","  1"
"First antennal segment slightly extending","First antennal segment slightly extending","  1"
"First antennal segment unusually","First antennal segment unusually","  1"
"First antennal segment unusually long","First antennal segment unusually long","  1"
"First antennal segment very","First antennal segment very","  5"
"First antennal segment very short","First antennal segment very short","  5"
"First antennal segment with","First antennal segment with","  1"
"First antennal segment with apex","First antennal segment with apex","  1"
"First antennal segment yellowish","First antennal segment yellowish","  1"
"First antennal segment yellowish brown","First antennal segment yellowish brown","  1"
"First article","First article","  3"
"First article attaining","First article attaining","  2"
"First article attaining level","First article attaining level","  2"
"First article attaining level of","First article attaining level of","  2"
"First article of","First article of","  1"
"First article of antennae","First article of antennae","  1"
"First article of antennae attaining","First article of antennae attaining","  1"
"First instar","First instar"," 15"
"First instar nymph","First instar nymph"," 15"
